"HBuilder","Quick Outline","Ctrl+O","HBuilder Editor"
"导航","Open Remote Task","Ctrl+Alt+Shift+F12","在窗口中"
"文本编辑","复制行","Ctrl+Alt+向下","编辑文本"
"运行／调试","终止","Ctrl+F2","调试中"
"编辑","删除当前标签(&T)","Ctrl+Shift+T","编辑文本"
"视图","显示视图 (控制台)","Alt+Shift+Q, C","在窗口中"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"编辑","“快速差别”开关","Ctrl+Shift+Q","编辑文本"
"Task","Mark Task Unread","Alt+Shift+U","In Tasks View"
"窗口","显示贡献插件","Alt+Shift+F3","在对话框和窗口中"
"运行／调试","内存的下一页","Ctrl+Shift+.","在呈示表内存时"
"HBuilder","复制文件路径","Ctrl+Shift+C","在窗口中"
"文本编辑","将行下移","Ctrl+向下","编辑文本"
"文件","新建","Ctrl+N","在窗口中"
"窗口","下一个视图","Ctrl+F7","在窗口中"
"文本编辑","删除至行末","Ctrl+Shift+删除","编辑文本"
"导航","上一步","Ctrl+,","在窗口中"
"导航","Go To Next Unread Task","Alt+向下","In Tasks View"
"HBuilder","注释分隔条(&N)","Ctrl+Shift+B","编辑文本"
"编辑","Input Newline in Find Bar","Alt+Shift+Enter","搜索条"
"HBuilder","吐槽","Alt+F1","在窗口中"
"Task","New Subtask","Shift+插入","In Tasks View"
"导航","后退历史记录","Alt+左箭头","在窗口中"
"编辑","Hide Find Bar","Esc","搜索条"
"编辑","去包围(&M)","Ctrl+0","编辑文本"
"HBuilder","首字大写(&C)","Ctrl+Shift+-","编辑文本"
"窗口","快速访问","Ctrl+3","在窗口中"
"编辑","重做","Ctrl+Y","在对话框和窗口中"
"编辑","Find Bar Focus Replace","Ctrl+Alt+E","搜索条"
"文本编辑","折叠","Ctrl+Alt+-","编辑文本"
"编辑","删除","删除","在窗口中"
"文件","保存全部","Ctrl+Shift+S","在窗口中"
"视图","显示视图 (断点)","Alt+Shift+Q, B","在窗口中"
"HBuilder","URL编码(&E)","Ctrl+Shift+7","编辑文本"
"编辑","查找下一个","Ctrl+K","编辑文本"
"导航","Open Task","Ctrl+F12","在窗口中"
"视图","Expand to Level ()","Ctrl+Alt+6","HBuilder Outline"
"文本编辑","合并下一行(&J)","Ctrl+Alt+J","编辑文本"
"窗口","上一个视图","Ctrl+Shift+F7","在窗口中"
"导航","打开声明","F3","PHP源代码编辑"
"导航","下一页","Alt+F7","在窗口中"
"文件","“新建”菜单","Ctrl+N","在窗口中"
"视图","显示视图 (大纲)","F10","在窗口中"
"运行／调试","运行至行","Ctrl+R","调试中"
"HBuilder","生成JSDoc","Alt+Shift+J","编辑文本"
"编辑","上下文信息","Alt+?","在窗口中"
"视图","显示视图 (同步)","Alt+Shift+Q, Y","在窗口中"
"编辑","剪切","Shift+删除","在对话框和窗口中"
"运行／调试","继续","F8","调试中"
"文本编辑","展开","Ctrl+Alt+=","编辑文本"
"编辑","查找上一个","Shift+F3","编辑文本"
"编辑","开启/关闭注释已选内容","Ctrl+Shift+/","在窗口中"
"取消分类","打开块选择","Alt+Shift+A","编辑文本"
"导航","Deactivate Task","Ctrl+Shift+F9","在窗口中"
"文本编辑","全部折叠","Ctrl+Alt+*","编辑文本"
"Task","Mark Task Read and Go To Next Unread Task","Alt+Shift+向下","In Tasks View"
"文本编辑","删除下一个词语","Ctrl+删除","编辑文本"
"文本编辑","切换折叠","Ctrl+Numpad_Divide","编辑文本"
"文本编辑","折叠","Ctrl+Alt+Numpad_Decimal","编辑文本"
"Task","Mark Task Complete","Alt+Shift+C","In Tasks View"
"导航","打开资源","Ctrl+T","在窗口中"
"文本编辑","下一个词语","Ctrl+右箭头","编辑文本"
"文本编辑","在当前行上面插入行","Ctrl+Shift+Enter","编辑文本"
"文本编辑","显示工具提示描述","F2","编辑文本"
